"Story","Title","Result","Date","Stability","Duration (s)"
"Open an education","Close a person","SUCCESS","2017-02-17T13:37:06.948+07:00","0.0","20.48"
"Open an education","Search person","SUCCESS","2017-02-17T13:37:30.821+07:00","0.0","16.84"
